:START_ID,:END_ID,:TYPE,network_layer,weight,transaction_date,maturity_days,interest_rate,currency,correlation,window_days,shares_held,layer_bridge,bridge_type,ticker,propagation_factor,created_at
BANK_CASH,BANK_PNC,overnight_lending,banking,946238921.940794,2023-12-16,302.0,6.299928914262018,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_013,BANK_CU_036,interbank_lending,banking,97538300.77344164,2024-04-18,128.0,2.736121202564296,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_017,BANK_CASH,interbank_lending,banking,150671527.52360758,2024-08-23,151.0,1.3405040914191442,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_040,BANK_ZION,credit_line,banking,155372612.5980664,2024-12-06,176.0,3.816919861447446,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_049,BANK_SNV,correspondent_banking,banking,62239127.060036056,2025-04-17,313.0,4.267366489691817,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_037,BANK_RF,overnight_lending,banking,150803920.2942799,2025-11-05,51.0,3.293588108794761,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_MS,BANK_CU_009,correspondent_banking,banking,1112044566.2476432,2024-09-09,326.0,2.319593088039337,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_047,BANK_COF,credit_line,banking,143433571.37285003,2025-07-21,196.0,5.552138450071888,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_005,BANK_BANC,derivative_exposure,banking,195430530.06712383,2024-08-04,106.0,2.437738837647476,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_042,BANK_CU_008,interbank_lending,banking,194397262.20168877,2025-02-25,279.0,3.0698868496406466,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_008,BANK_JPM,repo_agreement,banking,132383999.70591807,2024-02-13,48.0,1.597195982643844,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_HBAN,BANK_CU_012,derivative_exposure,banking,5767546740.084183,2025-01-29,349.0,3.0176003745667392,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_036,BANK_CU_007,overnight_lending,banking,56900396.30326291,2024-06-16,94.0,5.632763504066043,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_HBAN,BANK_CU_041,credit_line,banking,6051038280.854242,2024-10-15,289.0,3.288042877637668,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_STT,BANK_CU_020,correspondent_banking,banking,5309594609.698534,2024-05-07,250.0,6.100617848476897,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_C,BANK_ZION,interbank_lending,banking,2698834829.062164,2024-07-24,160.0,6.141381448549746,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAL,BANK_SBNY,repo_agreement,banking,3461918427.231866,2025-09-30,268.0,2.8166158268046457,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_OZK,BANK_WAFD,overnight_lending,banking,325583501.03306997,2023-11-21,253.0,1.0666577645355704,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_040,BANK_COF,overnight_lending,banking,101093685.419636,2025-07-03,115.0,2.1911286486403996,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_025,BANK_SEIC,interbank_lending,banking,170522139.55772728,2025-11-07,249.0,3.787831299488524,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_PNFP,BANK_CU_050,repo_agreement,banking,505602655.18976337,2024-02-13,190.0,3.8712001528626416,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SCHW,BANK_CU_040,interbank_lending,banking,2602982420.59169,2024-08-08,84.0,5.4587447966464495,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FHN,BANK_SNV,interbank_lending,banking,9290364823.144478,2025-01-27,76.0,2.6294311427763235,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_033,BANK_HBAN,repo_agreement,banking,140366138.88516784,2024-02-16,53.0,5.249474262355092,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_003,BANK_UMBF,syndicated_loan,banking,132429332.34856032,2024-12-11,133.0,4.922213340746053,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CMA,BANK_CU_027,derivative_exposure,banking,9001515289.83131,2025-03-15,230.0,1.0046408366899846,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BK,BANK_CU_001,correspondent_banking,banking,3110115854.814248,2024-05-21,165.0,1.8993684345471669,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_015,BANK_CU_037,credit_line,banking,186154055.95228195,2025-04-03,301.0,5.02026911155365,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_011,BANK_CU_004,derivative_exposure,banking,185953157.7642104,2025-10-23,39.0,3.106711066929628,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_042,BANK_CU_008,derivative_exposure,banking,67628937.01656573,2025-02-07,361.0,4.965269941659788,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_012,BANK_CU_014,repo_agreement,banking,180289869.22841904,2024-12-22,117.0,6.279335236643668,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_011,BANK_FNB,correspondent_banking,banking,198944719.41789505,2024-06-09,229.0,2.0179410079354465,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CMA,BANK_CVBF,reverse_repo,banking,4708704601.295724,2025-04-18,1.0,4.265348480504381,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_025,BANK_FITB,syndicated_loan,banking,118348512.91785696,2024-11-01,156.0,2.513960388781779,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_023,BANK_SBNY,repo_agreement,banking,152709675.88308188,2025-02-12,46.0,0.9572022775949788,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_019,BANK_FNB,letter_of_credit,banking,189909272.50310197,2023-11-19,242.0,3.809527235264421,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_015,BANK_CMA,fed_funds_transaction,banking,106510845.49069113,2024-05-04,282.0,2.785345139786129,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_PNFP,BANK_CU_028,interbank_lending,banking,561114626.7532489,2024-02-22,311.0,5.688334257530319,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WFC,BANK_CU_004,reverse_repo,banking,9585742974.11821,2025-05-27,83.0,1.984088610459186,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_001,BANK_WAFD,reverse_repo,banking,181733100.12187883,2025-01-28,288.0,0.7813788067473195,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_NYCB,BANK_CU_005,credit_line,banking,3556544500.9556203,2024-09-10,54.0,6.307842592638938,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_007,BANK_ZION,interbank_lending,banking,113080366.79976128,2024-09-07,229.0,4.2218573081207875,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_UCBI,BANK_CU_015,interbank_lending,banking,692438265.1409748,2024-09-10,286.0,3.8288936512533542,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_002,BANK_UCBI,repo_agreement,banking,109481417.34819052,2024-10-09,247.0,3.641613656090067,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_C,BANK_MTB,letter_of_credit,banking,8266883059.865481,2024-10-04,340.0,3.254814537429568,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_016,BANK_CU_028,interbank_lending,banking,86021842.81672896,2023-12-22,111.0,1.2732783314638954,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_HBAN,BANK_COF,interbank_lending,banking,5587459107.681461,2025-10-05,352.0,3.343769841577234,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_011,BANK_CU_001,interbank_lending,banking,101762394.173358,2023-11-14,170.0,1.562062905660481,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_USB,BANK_KEY,interbank_lending,banking,3465612987.247329,2025-05-08,218.0,4.642368971776191,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FNB,BANK_CU_037,interbank_lending,banking,367733262.0371453,2024-10-24,48.0,0.8664677591291825,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_COF,BANK_CU_050,interbank_lending,banking,6524429844.904994,2025-10-28,56.0,3.407137911146128,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BEN,BANK_CFG,interbank_lending,banking,3061496516.2099934,2023-11-16,238.0,4.997697392051524,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_UCBI,BANK_CU_050,overnight_lending,banking,451932423.2120357,2024-05-19,28.0,0.6204271866663582,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_EWBC,BANK_TROW,correspondent_banking,banking,605477456.0729171,2024-06-08,67.0,4.392937041749456,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_036,BANK_NYCB,reverse_repo,banking,134668781.37839618,2024-11-12,42.0,2.202655434792347,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_014,BANK_CU_049,interbank_lending,banking,197977287.31894696,2024-09-19,229.0,6.1021509425592475,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_020,BANK_CU_021,interbank_lending,banking,177622627.67542192,2025-04-08,318.0,5.335189320446861,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WFC,BANK_SIVB,repo_agreement,banking,9979416510.76296,2025-05-10,6.0,2.8871335942744496,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_029,BANK_PNC,syndicated_loan,banking,75633138.10850987,2025-07-07,62.0,6.0762559347655145,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_001,BANK_WAFD,credit_line,banking,195199109.9756351,2024-09-30,324.0,3.0526186316985005,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FITB,BANK_CVBF,derivative_exposure,banking,4664729149.301918,2025-08-24,293.0,3.536623738156082,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WFC,BANK_NYCB,overnight_lending,banking,6614523384.536149,2023-11-19,138.0,6.439761394339671,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_034,BANK_CU_015,interbank_lending,banking,164034178.98345298,2024-10-03,38.0,2.971045484883611,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_019,BANK_CU_012,derivative_exposure,banking,189940710.0649932,2024-10-08,137.0,1.7300108603194235,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BANC,BANK_CU_015,reverse_repo,banking,354829282.46971714,2024-10-23,361.0,5.003011548591881,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_035,BANK_CATY,credit_line,banking,145063784.55802658,2024-11-22,62.0,2.652982904741015,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CMA,BANK_TCBI,repo_agreement,banking,5327083220.686807,2025-07-17,179.0,4.244609265091025,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_TROW,BANK_ZION,correspondent_banking,banking,2595572439.064522,2025-03-26,309.0,5.938832665787282,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_020,BANK_PNC,overnight_lending,banking,100235842.19856292,2024-05-06,15.0,5.77177469224063,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FCNCA,BANK_SEIC,interbank_lending,banking,780235345.9325943,2024-02-14,289.0,0.7011946084146763,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_USB,BANK_CU_025,overnight_lending,banking,5341161741.6768675,2024-04-16,216.0,4.1237472324350755,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SEIC,BANK_CVBF,repo_agreement,banking,3160109609.638223,2025-09-24,95.0,4.090656207231362,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_OZK,BANK_IVZ,overnight_lending,banking,969306095.9230208,2023-11-20,360.0,4.000350768596723,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CASH,BANK_FITB,letter_of_credit,banking,629416509.1633495,2025-07-17,111.0,4.856573516374405,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_050,BANK_CU_018,credit_line,banking,72880856.4371392,2024-03-15,92.0,2.7466122183225323,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SEIC,BANK_CU_029,letter_of_credit,banking,3732058594.767139,2025-11-04,257.0,1.1794282750445315,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_004,BANK_CU_038,letter_of_credit,banking,84109343.1315669,2025-05-29,149.0,2.775834190313293,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_002,BANK_CU_008,interbank_lending,banking,112175687.63054416,2025-06-06,90.0,6.019133698476563,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_041,BANK_NYCB,letter_of_credit,banking,83690723.44099729,2025-08-10,364.0,5.9764967772747735,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_021,BANK_CU_002,repo_agreement,banking,104359084.86749496,2024-04-18,63.0,2.1655230357765087,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_035,BANK_PNFP,interbank_lending,banking,118848348.20255196,2024-02-01,148.0,2.9877447423621426,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_PNFP,BANK_CU_022,reverse_repo,banking,547988586.5931984,2024-03-29,211.0,2.596321994295998,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAFD,BANK_CU_044,repo_agreement,banking,690590203.1755557,2025-01-06,257.0,5.153165700170064,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_042,BANK_CU_045,reverse_repo,banking,77289219.57429066,2025-08-14,55.0,6.176692772801797,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_033,BANK_NYCB,repo_agreement,banking,196839715.34239417,2024-02-04,288.0,4.795833373084385,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_007,BANK_CU_018,interbank_lending,banking,125826181.86590506,2025-01-25,328.0,1.124651491907443,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_001,BANK_CU_048,reverse_repo,banking,64916208.913901776,2024-07-30,96.0,6.432372691732657,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_HBAN,BANK_CU_019,letter_of_credit,banking,4037382215.618657,2024-05-09,223.0,2.4439403666407977,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_TFC,BANK_NYCB,interbank_lending,banking,3420826672.4703135,2024-04-04,36.0,4.35755338168552,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FNB,BANK_CU_020,overnight_lending,banking,522294409.1463179,2024-11-29,119.0,2.1083818449372576,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_048,BANK_CU_003,overnight_lending,banking,196182089.7798305,2025-03-23,364.0,1.3406790545987153,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_037,BANK_CU_047,repo_agreement,banking,126868648.38228825,2024-03-03,9.0,3.7498052879652017,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_MS,BANK_C,interbank_lending,banking,1515037857.5449104,2023-12-08,215.0,4.599103138672889,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_UMBF,BANK_TCBI,overnight_lending,banking,553936066.0207666,2023-11-26,76.0,1.7385276305636193,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_IVZ,BANK_CU_008,overnight_lending,banking,2792239306.510925,2025-11-09,268.0,4.298588380144685,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAFD,BANK_ZION,repo_agreement,banking,828183532.7982029,2025-02-27,46.0,0.7817958006503303,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_015,BANK_CU_001,interbank_lending,banking,86802366.45219815,2024-11-14,149.0,5.522473944218176,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_009,BANK_IBOC,reverse_repo,banking,121407560.32986496,2024-09-14,111.0,6.224521619237798,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FCNCA,BANK_WTFC,interbank_lending,banking,288569360.1131878,2024-07-10,201.0,5.125473222474931,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BANC,BANK_ZION,repo_agreement,banking,766301797.320802,2024-01-09,42.0,3.2580890765667867,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_EWBC,BANK_CU_002,overnight_lending,banking,520730422.70502007,2025-04-16,44.0,5.344581510900567,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_024,BANK_CU_007,repo_agreement,banking,131285142.10675372,2023-11-21,216.0,5.050354483674089,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_037,BANK_CU_030,credit_line,banking,185504571.89540377,2025-04-29,268.0,1.8272566509176136,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BEN,BANK_CVBF,interbank_lending,banking,3775744952.246998,2023-11-25,282.0,3.907671383315777,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_TFC,BANK_STT,interbank_lending,banking,5663219947.978844,2025-03-21,82.0,4.970387288721322,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CMA,BANK_CU_010,credit_line,banking,7376255128.324211,2024-08-08,152.0,1.8800530237262183,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WFC,BANK_UCBI,repo_agreement,banking,5533640872.61388,2024-05-10,39.0,2.3917420269836622,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_036,BANK_TROW,derivative_exposure,banking,182896662.2354281,2024-04-18,108.0,1.8977568485218024,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_NYCB,BANK_AMG,interbank_lending,banking,2151891669.759177,2024-03-29,96.0,5.292699414641993,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SEIC,BANK_CU_013,interbank_lending,banking,2439626860.9117265,2024-09-22,185.0,3.9845432433639663,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_STT,BANK_VRTS,repo_agreement,banking,6418893937.258924,2024-11-02,65.0,1.932662874609814,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_018,BANK_CMA,interbank_lending,banking,91589846.85451604,2025-09-04,73.0,1.156805592074691,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FITB,BANK_CU_010,letter_of_credit,banking,4442369887.013602,2024-01-09,198.0,6.393983090480489,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_012,BANK_CU_028,fed_funds_transaction,banking,198675293.92054647,2025-10-20,59.0,2.9094814185529247,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_024,BANK_CU_049,overnight_lending,banking,166937671.035013,2025-03-29,262.0,5.30461812277925,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BK,BANK_CU_050,reverse_repo,banking,4451750259.636455,2025-06-04,178.0,3.4471180452117594,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SIVB,BANK_CU_050,interbank_lending,banking,3243614812.2766857,2024-03-08,89.0,4.057639609050219,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_MTB,BANK_CU_007,overnight_lending,banking,9165610599.017328,2025-05-03,226.0,5.672765703592704,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_USB,BANK_FITB,interbank_lending,banking,5295163877.592355,2024-03-12,328.0,4.674285757098501,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_020,BANK_CATY,interbank_lending,banking,59227553.93588526,2025-06-24,301.0,3.383519463959888,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_017,BANK_CU_006,derivative_exposure,banking,134859794.59936866,2023-12-19,237.0,4.90345951372221,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_047,BANK_CU_009,correspondent_banking,banking,100101331.81178568,2025-09-20,45.0,4.684828770015702,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_UCBI,BANK_CU_011,interbank_lending,banking,903882645.808924,2025-05-19,31.0,5.454900503388576,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_003,BANK_AMG,letter_of_credit,banking,172695053.61785933,2024-01-30,206.0,5.039814822709608,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_046,BANK_KEY,reverse_repo,banking,133976646.8463244,2024-03-01,360.0,2.058821486384959,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAL,BANK_CU_021,overnight_lending,banking,2623799736.028331,2025-02-06,224.0,5.540729016447313,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_043,BANK_MS,letter_of_credit,banking,60175558.86577579,2025-03-07,219.0,1.498265521593634,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_STT,BANK_CU_016,interbank_lending,banking,2843065253.5938463,2024-03-08,306.0,6.440890236503883,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FCNCA,BANK_CU_050,reverse_repo,banking,268440187.34410113,2025-02-11,33.0,2.4416613148972477,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_025,BANK_CU_008,interbank_lending,banking,91043999.94224988,2025-03-05,285.0,6.165821809746979,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_IBOC,BANK_RF,credit_line,banking,473780823.24249446,2024-04-14,288.0,0.9942862736950562,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_IVZ,BANK_CU_018,syndicated_loan,banking,2297004403.1278057,2025-01-22,21.0,5.95714706568691,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_PNC,BANK_WTFC,overnight_lending,banking,4839639928.713478,2024-11-30,58.0,5.864595222074806,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAL,BANK_CU_015,correspondent_banking,banking,2688250859.030148,2025-04-16,208.0,3.759396834739749,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_ZION,BANK_CU_044,credit_line,banking,5902702259.53962,2025-06-22,50.0,5.066143945657993,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_003,BANK_BLK,letter_of_credit,banking,119314593.61484908,2025-05-20,222.0,1.2038491337743669,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_034,BANK_BK,interbank_lending,banking,137295710.28715983,2025-11-04,117.0,4.041583633313735,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_031,BANK_CU_022,repo_agreement,banking,109331762.58199532,2024-09-24,95.0,4.83132576756161,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_SBNY,BANK_UMBF,interbank_lending,banking,3247484917.303849,2024-06-10,41.0,1.9522700951751648,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WTFC,BANK_NYCB,reverse_repo,banking,4948459811.829939,2024-07-08,2.0,3.7054532358586703,USD,,,,,,,,2025-11-13T14:41:50.611004
