node_id,node_type,network_layer,name,institution_id,tier,total_assets,total_deposits,total_loans,equity,num_branches,num_employees,cert,assets,city,state,ticker,sector,industry,market_cap,trailing_pe,debt_to_equity,beta,cik,created_at
BANK_HBAN,bank,banking,HBAN Financial Corp,HBAN,tier1_national,1140846444729.372,962977517330.4208,698350179245.9027,108674255955.4663,4673.0,135517.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_ZION,bank,banking,ZION Financial Corp,ZION,tier1_national,16423075837.539978,10711748231.711828,9040381649.69066,1334896012.0472908,3894.0,155760.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CMA,bank,banking,CMA Financial Corp,CMA,tier1_national,660512919074.3445,505501080726.35846,344039454393.8418,55498340612.81576,879.0,22854.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_FHN,bank,banking,FHN Financial Corp,FHN,tier1_national,1757711379270.2913,1147063301029.8042,1107991293921.002,143213890395.73578,2716.0,127652.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_WTFC,bank,banking,WTFC Financial Corp,WTFC,tier1_national,837921606298.4657,409104388743.7637,464949343597.34467,95069802753.63612,4855.0,101955.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_GS,bank,banking,GS Financial Corp,GS,tier2_investment,663968817913.043,482221308213.70233,339615786122.6302,73782262446.76068,2917.0,93344.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_MS,bank,banking,MS Financial Corp,MS,tier2_investment,810864420396.8446,370594439178.6959,407660032978.3906,65388403010.67992,291.0,3783.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_SCHW,bank,banking,SCHW Financial Corp,SCHW,tier2_investment,1749265782368.8716,1082047565352.316,882894447867.9893,154004209143.44183,2168.0,41192.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_BLK,bank,banking,BLK Financial Corp,BLK,tier2_investment,1048534269857.7308,784982211252.2234,548032856948.3031,120640048063.9096,585.0,7605.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_TROW,bank,banking,TROW Financial Corp,TROW,tier2_investment,1519903985163.6914,1065317069438.6608,768632688611.8851,130067829803.90968,4463.0,66945.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_BEN,bank,banking,BEN Financial Corp,BEN,tier2_investment,1400498668185.333,701888136372.0504,716279423896.2711,153020158972.93164,238.0,4760.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_IVZ,bank,banking,IVZ Financial Corp,IVZ,tier2_investment,933579975805.5542,823142301346.9835,563475231679.4076,105945963782.79327,2425.0,99425.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_APAM,bank,banking,APAM Financial Corp,APAM,tier2_investment,2700203166572.4585,1580356565816.6814,1749563497080.824,231914378192.12433,1605.0,41730.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_SEIC,bank,banking,SEIC Financial Corp,SEIC,tier2_investment,1299425791820.2424,714689215866.4036,769383723540.9125,120085182075.09715,1447.0,46304.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_AMG,bank,banking,AMG Financial Corp,AMG,tier2_investment,1664309255697.3994,1345179173486.7163,1068105639337.0704,142082344376.77,3643.0,174864.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_VRTS,bank,banking,VRTS Financial Corp,VRTS,tier2_investment,2786414026200.2397,1952328113314.346,1851271430657.4153,252942376192.31348,2127.0,59556.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_SIVB,bank,banking,SIVB Financial Corp,SIVB,tier2_investment,1347544317026.2944,977579506082.626,754562788175.1161,153055980812.47208,1095.0,35040.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_SBNY,bank,banking,SBNY Financial Corp,SBNY,tier2_investment,707435365630.0099,550951029135.7941,403014228476.24695,61527965765.494774,3374.0,107968.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_NYCB,bank,banking,NYCB Financial Corp,NYCB,tier2_investment,1546692490212.9338,903953095897.1616,843533175229.7739,124012787421.9468,1546.0,72662.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_WAL,bank,banking,WAL Financial Corp,WAL,tier2_investment,659526153225.0646,575740553504.9915,371017318715.598,70818015572.00937,4735.0,213075.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_FCNCA,bank,banking,FCNCA Financial Corp,FCNCA,tier3_regional,75995599384.89594,56559929177.444405,42732464318.04489,7582647480.29334,85.0,3570.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CATY,bank,banking,CATY Financial Corp,CATY,tier3_regional,743166919330.8118,510425386716.02094,409448760796.7553,76370140127.49944,4512.0,144384.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_UCBI,bank,banking,UCBI Financial Corp,UCBI,tier3_regional,661636434263.1909,507255035410.3915,441346035442.94086,56995496960.291504,2284.0,29692.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_IBOC,bank,banking,IBOC Financial Corp,IBOC,tier3_regional,2823102069749.8296,1310075310778.8635,1802939591190.3577,325609315748.2979,3650.0,65700.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_BANC,bank,banking,BANC Financial Corp,BANC,tier3_regional,1796055176707.5542,948843659063.2714,988715197977.1564,182141533424.547,1195.0,44215.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_TCBI,bank,banking,TCBI Financial Corp,TCBI,tier3_regional,2318943418954.6714,1896065105918.4692,1599961657743.698,249500544029.1817,4595.0,45950.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_UMBF,bank,banking,UMBF Financial Corp,UMBF,tier3_regional,2456446213903.636,1425980326804.805,1455335337755.277,251305561935.6876,1600.0,25600.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_OZK,bank,banking,OZK Financial Corp,OZK,tier3_regional,1746994956315.7607,1409686731051.6726,1147588015417.4592,193305515372.48975,3432.0,96096.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_EWBC,bank,banking,EWBC Financial Corp,EWBC,tier3_regional,1340812754184.1013,851107097860.1456,717918292688.0929,111141772272.86528,676.0,31772.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_WAFD,bank,banking,WAFD Financial Corp,WAFD,tier3_regional,2600559145027.3257,1470866177368.0615,1516620558486.1208,214564055439.0201,3055.0,116090.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CASH,bank,banking,CASH Financial Corp,CASH,tier3_regional,2421672986559.0645,1036840300418.4204,1501942160630.776,256776667855.5296,65.0,2340.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_FNB,bank,banking,FNB Financial Corp,FNB,tier3_regional,616050931962.491,517879329159.24005,424270470974.6778,68973652505.64145,3081.0,70863.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CVBF,bank,banking,CVBF Financial Corp,CVBF,tier3_regional,364443123844.6489,184367824333.16272,205615294593.2233,40994601895.02363,4691.0,140730.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_PNFP,bank,banking,PNFP Financial Corp,PNFP,tier3_regional,898722652374.3143,561578812745.4432,610527821706.1296,103065503177.98216,4930.0,221850.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_SNV,bank,banking,SNV Financial Corp,SNV,tier3_regional,552339959183.9897,394206033806.4629,364993401216.6674,52267385794.10015,3277.0,134357.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_001,bank,banking,CU_001 Financial Corp,CU_001,tier4_credit_union,2138533579537.2295,1871106512399.5996,1203460070724.5476,248732338966.93436,2587.0,62088.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_002,bank,banking,CU_002 Financial Corp,CU_002,tier4_credit_union,455615690523.51746,350204795182.42804,236486864082.20856,47043292654.71519,266.0,3990.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_003,bank,banking,CU_003 Financial Corp,CU_003,tier4_credit_union,2973962531725.0054,1373519342991.0498,2009605829963.835,338351427112.30646,1059.0,30711.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_004,bank,banking,CU_004 Financial Corp,CU_004,tier4_credit_union,47626967764.30842,42569450979.86487,25964695451.814472,5235139129.711183,2999.0,74975.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_005,bank,banking,CU_005 Financial Corp,CU_005,tier4_credit_union,1679249106630.573,977240202098.3271,843205704376.802,199929641601.3643,1828.0,80432.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_006,bank,banking,CU_006 Financial Corp,CU_006,tier4_credit_union,2851042939860.778,1898974652550.047,1468216999373.2378,302013619483.1095,4012.0,104312.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_007,bank,banking,CU_007 Financial Corp,CU_007,tier4_credit_union,1616779446879.2854,766967812004.9165,1034444981217.1974,139922879845.0007,4735.0,142050.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_008,bank,banking,CU_008 Financial Corp,CU_008,tier4_credit_union,2794158975397.314,1677927948537.8013,1422547320074.037,227656376787.57648,3645.0,58320.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_009,bank,banking,CU_009 Financial Corp,CU_009,tier4_credit_union,1860286988679.9568,1306975733744.734,1206428221934.772,183140469435.9925,2273.0,111377.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_010,bank,banking,CU_010 Financial Corp,CU_010,tier4_credit_union,1941526836538.2715,1108862722455.9973,1144847754576.0813,159452926557.45273,832.0,23296.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_011,bank,banking,CU_011 Financial Corp,CU_011,tier4_credit_union,1828405608917.9111,1225631643266.0752,1053582034409.8092,156697778152.8528,2283.0,73056.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_012,bank,banking,CU_012 Financial Corp,CU_012,tier4_credit_union,116860526862.98389,64481434039.6302,78908167073.94281,13875360486.949623,4723.0,103906.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_013,bank,banking,CU_013 Financial Corp,CU_013,tier4_credit_union,1579748517203.1233,1205527812002.4,850402035060.4337,130668071081.53049,495.0,23265.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_014,bank,banking,CU_014 Financial Corp,CU_014,tier4_credit_union,2308124554005.75,1213704229899.8423,1176541025983.1248,196388579530.02255,4949.0,69286.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_015,bank,banking,CU_015 Financial Corp,CU_015,tier4_credit_union,737050809392.152,325500812072.3384,458275744662.544,72882639248.65295,2348.0,44612.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_016,bank,banking,CU_016 Financial Corp,CU_016,tier4_credit_union,1820560195218.2192,1291001724449.6274,935291784691.7388,150321542417.54642,1188.0,24948.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_017,bank,banking,CU_017 Financial Corp,CU_017,tier4_credit_union,1634095090247.4917,1096581788361.5476,915715879901.4526,157616107522.6107,1047.0,26175.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_018,bank,banking,CU_018 Financial Corp,CU_018,tier4_credit_union,2220793923706.083,1900536673204.6853,1527033974621.8628,244399509493.2554,1624.0,51968.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_019,bank,banking,CU_019 Financial Corp,CU_019,tier4_credit_union,804022108958.5833,500859683532.8236,561214856472.8103,67695572499.75517,2347.0,56328.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_020,bank,banking,CU_020 Financial Corp,CU_020,tier4_credit_union,1543102531952.2146,1153805380366.6792,1064781037269.487,160704175813.4973,4408.0,101384.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_021,bank,banking,CU_021 Financial Corp,CU_021,tier4_credit_union,1148836183948.7349,835346607317.4282,721328741051.046,107567118743.41014,1926.0,28890.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_022,bank,banking,CU_022 Financial Corp,CU_022,tier4_credit_union,2116629569334.5935,1171071745035.0972,1133501087596.6516,189476138285.53256,4669.0,219443.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_023,bank,banking,CU_023 Financial Corp,CU_023,tier4_credit_union,1171709058982.2532,908361520192.291,727113943655.3545,130535238620.95656,2820.0,81780.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_024,bank,banking,CU_024 Financial Corp,CU_024,tier4_credit_union,1292543435150.3047,1012273094869.9965,683653067997.3701,131900822103.78836,1871.0,80453.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_025,bank,banking,CU_025 Financial Corp,CU_025,tier4_credit_union,1185399552989.5574,1038183968803.9496,777116008619.0017,140415980188.2142,3940.0,98500.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_026,bank,banking,CU_026 Financial Corp,CU_026,tier4_credit_union,1015501524797.0529,718812988286.6427,702271722417.8435,120936344566.92332,2650.0,47700.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_027,bank,banking,CU_027 Financial Corp,CU_027,tier4_credit_union,1063959717117.9728,815857677802.87,609628855500.4458,115656926708.65576,572.0,26884.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_028,bank,banking,CU_028 Financial Corp,CU_028,tier4_credit_union,688466635834.4133,517429216304.3782,348206104353.19183,70193048135.93991,2479.0,118992.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_029,bank,banking,CU_029 Financial Corp,CU_029,tier4_credit_union,661772547300.5967,350209152073.59467,343084112054.3947,61086125450.82371,1686.0,28662.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_030,bank,banking,CU_030 Financial Corp,CU_030,tier4_credit_union,161960632558.3583,85501377310.3568,101298892737.99818,17577233545.5231,2015.0,22165.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_031,bank,banking,CU_031 Financial Corp,CU_031,tier4_credit_union,2210584905603.1104,1248631956414.0386,1270167581523.2063,211989618298.3159,2346.0,79764.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_032,bank,banking,CU_032 Financial Corp,CU_032,tier4_credit_union,1266417644906.726,786390542467.3684,876580532106.7903,131175947555.51392,3883.0,178618.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_033,bank,banking,CU_033 Financial Corp,CU_033,tier4_credit_union,475336455978.4166,267193821478.8773,277255731236.52563,52973037619.16172,1582.0,15820.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_034,bank,banking,CU_034 Financial Corp,CU_034,tier4_credit_union,2965317914578.6147,2067831756232.177,1976120036868.1,304409196904.07007,678.0,22374.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_035,bank,banking,CU_035 Financial Corp,CU_035,tier4_credit_union,446595715641.467,349793625387.4503,256870652700.6049,44143776167.46446,769.0,37681.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_036,bank,banking,CU_036 Financial Corp,CU_036,tier4_credit_union,1808244366645.03,1043379965461.4342,1130451995699.7146,181372314852.64084,4105.0,180620.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_037,bank,banking,CU_037 Financial Corp,CU_037,tier4_credit_union,332115052035.07263,134719249786.33672,224305721135.89407,38428658961.64887,427.0,14091.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_038,bank,banking,CU_038 Financial Corp,CU_038,tier4_credit_union,1551376813141.355,829577712188.6061,1021623036062.7614,176228854346.41837,4382.0,87640.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_039,bank,banking,CU_039 Financial Corp,CU_039,tier4_credit_union,1020656582823.948,837133415466.8279,594014349616.0652,102550281720.33592,1656.0,39744.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_040,bank,banking,CU_040 Financial Corp,CU_040,tier4_credit_union,1077640084396.0404,499736558939.5182,646150974024.164,116863596802.26628,1740.0,78300.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_041,bank,banking,CU_041 Financial Corp,CU_041,tier4_credit_union,1034399061535.406,895430641970.4386,627694131194.4722,96617207086.7697,3352.0,147488.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_042,bank,banking,CU_042 Financial Corp,CU_042,tier4_credit_union,231776265659.0305,133932204223.9783,141550513383.82034,22183645981.815536,4756.0,76096.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_043,bank,banking,CU_043 Financial Corp,CU_043,tier4_credit_union,585175004280.695,362351311850.9865,346223125887.2366,54477318546.96462,3866.0,177836.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_044,bank,banking,CU_044 Financial Corp,CU_044,tier4_credit_union,470359843374.16174,275362876082.8421,262742008414.278,42639612503.76528,4620.0,101640.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_045,bank,banking,CU_045 Financial Corp,CU_045,tier4_credit_union,2598946716485.411,1979295574109.1592,1768611946319.5083,230009610479.05316,1571.0,45559.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_046,bank,banking,CU_046 Financial Corp,CU_046,tier4_credit_union,2013851631241.4849,1223799592409.0935,1100600434564.4167,231721123371.7225,1073.0,31117.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_047,bank,banking,CU_047 Financial Corp,CU_047,tier4_credit_union,162776600731.91855,125018301886.0172,90799782842.78952,13624599213.182655,2427.0,24270.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_048,bank,banking,CU_048 Financial Corp,CU_048,tier4_credit_union,451765700773.9318,325571388404.76715,269596511377.58347,53690730446.313354,4009.0,168378.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_049,bank,banking,CU_049 Financial Corp,CU_049,tier4_credit_union,2425234280862.395,1128295455959.3235,1216239222401.8645,257914037577.60208,2427.0,84945.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CU_050,bank,banking,CU_050 Financial Corp,CU_050,tier4_credit_union,2319200428300.5386,1803453643234.0552,1347100035781.464,192302764850.91028,3119.0,99808.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_628,fdic_bank,banking,"JPMorgan Chase Bank, National Association",,,,,,,,,628.0,3788551000.0,Columbus,OH,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_3510,fdic_bank,banking,"Bank of America, National Association",,,,,,,,,3510.0,2665555000.0,Charlotte,NC,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_7213,fdic_bank,banking,"Citibank, National Association",,,,,,,,,7213.0,1833933000.0,Sioux Falls,SD,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_3511,fdic_bank,banking,"Wells Fargo Bank, National Association",,,,,,,,,3511.0,1746394000.0,Sioux Falls,SD,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_6548,fdic_bank,banking,U.S. Bank National Association,,,,,,,,,6548.0,671438131.0,Cincinnati,OH,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_4297,fdic_bank,banking,"Capital One, National Association",,,,,,,,,4297.0,648909392.0,Mclean,VA,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_33124,fdic_bank,banking,Goldman Sachs Bank USA,,,,,,,,,33124.0,625410000.0,New York,NY,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_6384,fdic_bank,banking,"PNC Bank, National Association",,,,,,,,,6384.0,554573142.0,Wilmington,DE,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_9846,fdic_bank,banking,Truist Bank,,,,,,,,,9846.0,535585000.0,Charlotte,NC,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_639,fdic_bank,banking,The Bank of New York Mellon,,,,,,,,,639.0,398293000.0,New York,NY,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_14,fdic_bank,banking,State Street Bank and Trust Company,,,,,,,,,14.0,371784000.0,Boston,MA,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_18409,fdic_bank,banking,"TD Bank, National Association",,,,,,,,,18409.0,356447140.0,Wilmington,DE,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_16571,fdic_bank,banking,BMO Bank National Association,,,,,,,,,16571.0,253742866.0,Chicago,IL,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57450,fdic_bank,banking,"Charles Schwab Bank, SSB",,,,,,,,,57450.0,247664000.0,Westlake,TX,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_32992,fdic_bank,banking,"Morgan Stanley Bank, National Association",,,,,,,,,32992.0,239249000.0,Salt Lake City,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_34221,fdic_bank,banking,"Morgan Stanley Private Bank, National Association",,,,,,,,,34221.0,235034000.0,Purchase,NY,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_11063,fdic_bank,banking,First-Citizens Bank & Trust Company,,,,,,,,,11063.0,229412000.0,Raleigh,NC,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57957,fdic_bank,banking,"Citizens Bank, National Association",,,,,,,,,57957.0,217970015.0,Providence,RI,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_27471,fdic_bank,banking,American Express National  Bank,,,,,,,,,27471.0,211720953.0,Sandy,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_588,fdic_bank,banking,Manufacturers and Traders Trust Company,,,,,,,,,588.0,211042013.0,Buffalo,NY,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_6672,fdic_bank,banking,"Fifth Third Bank, National Association",,,,,,,,,6672.0,209311000.0,Cincinnati,OH,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_6560,fdic_bank,banking,The Huntington National Bank,,,,,,,,,6560.0,206645430.0,Columbus,OH,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_17534,fdic_bank,banking,KeyBank National Association,,,,,,,,,17534.0,182591692.0,Cleveland,OH,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57803,fdic_bank,banking,Ally Bank,,,,,,,,,57803.0,178052000.0,Sandy,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_913,fdic_bank,banking,The Northern Trust Company,,,,,,,,,913.0,171309876.0,Chicago,IL,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57890,fdic_bank,banking,"HSBC Bank USA, National Association",,,,,,,,,57890.0,169752417.0,Tysons,VA,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_12368,fdic_bank,banking,Regions Bank,,,,,,,,,12368.0,157807000.0,Birmingham,AL,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57565,fdic_bank,banking,UBS Bank USA,,,,,,,,,57565.0,114294933.0,Salt Lake City,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_27314,fdic_bank,banking,Synchrony Bank,,,,,,,,,27314.0,113897000.0,Draper,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_32188,fdic_bank,banking,USAA Federal Savings Bank,,,,,,,,,32188.0,106476000.0,Phoenix,AZ,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_29950,fdic_bank,banking,"Santander Bank, N.A.",,,,,,,,,29950.0,103352050.0,Wilmington,DE,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_17281,fdic_bank,banking,City National Bank,,,,,,,,,17281.0,94207350.0,Los Angeles,CA,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_32541,fdic_bank,banking,"Flagstar Bank, National Association",,,,,,,,,32541.0,92176203.0,Hicksville,NY,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_2270,fdic_bank,banking,"Zions Bancorporation, N.A.",,,,,,,,,2270.0,88892748.0,Salt Lake City,UT,,,,,,,,,2025-11-13T14:41:50.237751
FDIC_57512,fdic_bank,banking,Western Alliance Bank,,,,,,,,,57512.0,86623395.0,Phoenix,AZ,,,,,,,,,2025-11-13T14:41:50.237751
