date,institution_id,total_assets,cash_equivalents,securities,loans,other_assets,total_liabilities,deposits,borrowings,equity,layer
2024-12-27,CU_049,247980977378.2054,16145859355.647535,57348979632.971405,147858060490.13004,20349608028.72211,218753504397.7458,176844402329.74026,30165219548.5319,26628636918.66709,banking
2024-12-28,CU_049,250522633377.90424,14798593148.595629,50919014978.65736,151970223090.7073,22285645327.66288,224594324254.13293,151250387896.00305,42637049221.57804,23179196252.218803,banking
2024-12-29,CU_049,246101314531.18945,31908979086.71918,46203120262.426056,141199397371.40378,17040106935.109734,225506019651.65475,163332085912.0027,33766597146.84473,21796254836.948963,banking
2024-12-30,CU_049,248143788814.90643,24726708191.529808,53686136119.56507,151239827352.96582,15329148755.00111,227735191376.84448,172405595125.0851,27353670975.596848,27441594633.137123,banking
2024-12-31,CU_049,250707973474.56274,29899849821.70644,57224843629.17063,149403692134.09296,12747143895.843466,227234454421.95184,180543083729.69843,38797937019.423004,21895711915.223244,banking
2025-01-01,CU_049,250425977743.4356,13699439659.818382,49080958533.84575,143194070259.60034,24819281523.398212,222185747743.87515,170523740410.9765,42416151033.330124,20181030572.731636,banking
2025-01-02,CU_049,252721618317.2546,30264126800.14443,53700472630.78668,150705321734.65997,14091449591.871384,232079385460.69144,168376527066.71716,39733744558.24161,22783077861.58428,banking
2025-01-03,CU_049,244842790510.5454,31532282863.65389,51102383318.48295,136748368809.63957,14181488213.376738,219446567175.38956,147013388264.15897,48336713523.132935,25786648744.65802,banking
2025-01-04,CU_049,246601463239.3523,33636917044.875614,39310644849.24562,131503151947.08522,16303741911.60434,225917270549.58078,157371817896.2838,34980281057.962906,25812087175.208374,banking
2025-01-05,CU_049,251429314021.69952,29252752274.811256,54871057204.6705,153723739897.41934,19953109134.110435,226365115033.87982,182163146043.8438,43078671975.73513,24919506951.668385,banking
2025-01-06,CU_049,252175605379.15314,17044940960.098566,60101146285.28405,132499842338.80545,15728504851.093039,224584201728.64426,153727675984.95514,32746241959.38205,22967093662.35734,banking
2025-01-07,CU_049,249600850138.7016,27409835173.548286,51139800773.95699,148378248604.98788,12981514083.43732,226625502992.468,185282210315.1835,40736192815.01098,22743281059.2637,banking
2025-01-08,CU_049,246812675834.35626,31245850247.59045,39773728741.94973,137202990176.10959,14689950853.664154,219170929328.5074,148218490112.98654,46588865335.03482,22875880627.179707,banking
2025-01-09,CU_049,247584904722.95013,13013410268.393196,39490273551.99177,132053074912.66473,14500217434.733982,226187926995.79105,183891108085.42172,47915432081.36987,21922503280.669872,banking
2025-01-10,CU_049,244994364621.2146,28420346644.76089,43591810662.43075,124569757559.09521,19139708350.513435,218205933304.30548,158713786003.82617,39071812694.307816,26432860135.06887,banking
2025-01-11,CU_049,244828703449.36432,13481331997.950544,56917035646.7894,132260065344.71451,18676735361.987194,223137366057.84872,148917257416.64832,43416014638.04599,25054421446.078003,banking
2025-01-12,CU_049,244784045517.01697,28793623085.123753,38504058650.33019,133818712070.92795,18798389607.03477,222010713448.94638,156504897990.32697,28893235209.857864,26830822776.01711,banking
2025-01-13,CU_049,247799039494.4966,17428904700.220394,51899205863.82104,138555227812.35767,20068162744.425785,225815630934.53418,149426948424.11874,33592117662.41453,23303482172.76215,banking
2025-01-14,CU_049,252683916743.6272,37827241412.62918,54400281447.54587,141802297957.27243,18195560732.013535,229068181606.42212,174135053086.98654,46984613853.10896,27429539970.97604,banking
2025-01-15,CU_049,245068127995.781,32807581666.760807,43892382199.93469,150537965696.80905,12932005024.905855,218730551919.43433,173648509022.69177,48445814273.11456,23545076250.432865,banking
2025-01-16,CU_049,246154228509.31995,33750222062.027145,57633066472.709526,143178687180.76215,15588609425.689009,219653891889.3709,165741060101.94824,48792943096.61408,20785451724.30089,banking
2025-01-17,CU_049,247354711434.6522,33663406437.08384,60892653671.35512,125556177203.51004,19656070690.77654,223651509832.65845,167134611210.6733,25802222111.572556,22930992949.114834,banking
2025-01-18,CU_049,248114130038.7892,24506561175.376095,61175058795.294624,135400441058.78761,13139569515.843985,219532098827.38,161991366316.9571,44127004341.26032,25875448504.29542,banking
2025-01-19,CU_049,251513470849.09058,35676167416.67629,40766004835.968925,145650684854.02185,20431593711.883965,225525401206.75867,167992011647.78824,27271796653.70694,20711287107.938946,banking
2025-01-20,CU_049,244161720744.43246,28216767375.74484,39086476366.39659,135576616187.028,23403789181.895638,216500628959.2569,163814665947.3474,42226590923.20001,21951507727.94624,banking
2025-01-21,CU_049,243951606069.18204,31174174043.74366,54370214941.33749,157836195170.67435,19595313420.397694,217694220456.8538,151117375895.58618,26808063157.916138,25740744390.51905,banking
2025-01-22,CU_049,247209541192.0626,32925938825.985023,40159769302.46961,159351366135.5001,13099820025.498663,225275510369.16437,177171407440.14978,39879284211.87892,29591616221.34866,banking
2025-01-23,CU_049,243779198907.16364,23528941851.393288,39145570462.68151,140716045868.59464,14573417789.086452,218878792617.06073,147657900932.1005,35427704766.09099,26004218989.848392,banking
2025-01-24,CU_049,252478851207.57782,36038274698.42717,46793447485.24384,156828785417.75455,23723338183.62779,231973186075.46072,168134666049.7961,45940122902.61472,22827887602.96565,banking
2025-01-25,CU_049,251368414197.3504,32667689391.350277,59164328628.307724,156343995202.24628,22449760169.058643,228070305021.36557,155005588860.49222,34488904587.80334,22592088200.966537,banking
2025-01-26,CU_049,248042161328.39194,35137629928.87123,52436761502.79547,127143533522.24858,16105510947.743515,226728923802.6576,162788962875.65744,24982830658.394543,27537025131.460983,banking
2025-01-27,CU_049,245133798209.71228,15246289687.812557,51890793906.43241,143487660081.85703,16681534007.632513,217753931099.742,150887733753.09116,27494232127.19905,26824558803.491737,banking
2025-01-28,CU_049,252690698931.90082,26834710866.259834,54222183205.29527,163232053438.74286,12832211674.382751,223943820094.86392,169435551891.39313,27492847444.306145,22862174108.669567,banking
2025-01-29,CU_049,247591533504.9835,29861174921.36746,40409770397.61857,146142041600.68692,13021101244.528624,222309939129.17044,152220015868.84158,37095578999.741585,23922353228.357693,banking
2025-01-30,CU_049,247510510721.13516,32482086601.34945,49904289006.65363,133844566993.43033,22435205895.088062,222964771331.50024,184724227722.55154,37005475778.84364,27970776959.775124,banking
2025-01-31,CU_049,243747962862.44385,18311333486.16627,37281901873.57248,141913519095.55365,17952243051.019375,221892563585.5814,150373036884.30847,44615637006.23598,20203480374.158195,banking
2025-02-01,CU_049,252138202793.25266,26507235633.163715,40122470494.617805,127240419314.33167,22665183517.24802,225080016607.16,187027727232.12234,50112561084.39611,28260930374.03601,banking
2025-02-02,CU_049,251318069096.57184,30561457458.833168,42694192989.23674,131456691456.60614,17647467250.233017,230661769083.37964,152041089609.61008,45753802381.018135,24245162594.42947,banking
2025-02-03,CU_049,244056408009.93884,16554970085.0207,60556185829.96838,151870463984.97736,22308114098.16408,220129076932.7048,147877745315.20273,44370508458.05997,24146833671.455383,banking
2025-02-04,CU_049,250845203368.53485,31249340687.73055,38637857015.864944,133898808034.2479,22988888052.13798,225674109669.72507,151703149344.48187,49145718331.79899,26269153763.72869,banking
2025-02-05,CU_049,247708027401.1269,34697516978.936646,40427738864.43297,160064766871.43253,15602817091.486723,223537683842.43817,179019269453.875,31349011897.287914,22700670596.590706,banking
2025-02-06,CU_049,249614270347.6306,14322937240.889132,56362721442.13762,136359036028.3702,24417792976.2053,222542016828.50818,185009447153.04077,27789605138.214443,23969279161.103256,banking
2025-02-07,CU_049,250195949445.25116,19050615640.410522,56209502374.619225,162362259723.7724,24296788269.25073,229962992597.9246,152175400654.56946,40154473039.65848,28612092533.79797,banking
2025-02-08,CU_049,252428006905.11893,24920303988.549377,38155733330.09432,155308876078.63162,24469367937.999775,222179761694.28177,153111882641.44272,44773672001.92112,28058352086.297104,banking
2025-02-09,CU_049,245828473993.00458,29927184344.385845,58584018216.62669,132413418109.58182,17784624873.76383,221109872243.44055,162775098247.79156,32606015679.533615,29394505082.74205,banking
2025-02-10,CU_049,249409882076.18918,30306212837.587597,40070201237.31041,143766242584.012,23644956731.720142,226596354153.8694,160117132505.78455,45962465455.82495,20475341306.556202,banking
2025-02-11,CU_049,253538380069.47845,31889385769.305283,62139675328.82624,159299043018.89984,22452471775.26071,227599681384.12973,182835268356.4129,27280102360.613968,22597701222.731567,banking
2025-02-12,CU_049,252563416533.17316,30284535909.536602,42590902258.99164,142023969845.2119,21637083377.14813,230300465507.77972,183377123724.67963,28993388527.399624,20273863835.17163,banking
2025-02-13,CU_049,245071910177.61865,24317418931.76332,59350378888.658966,129659541312.58365,21705478119.97433,222318011696.8593,182473928426.90558,31634244443.57446,26329647081.31905,banking
2025-02-14,CU_049,244028385006.50818,18061344074.73354,51863023505.701195,157539084140.8565,17070673458.655962,221229821341.4825,149110619227.73636,24680790757.003685,20987180799.130222,banking
2025-02-15,CU_049,249518389304.89917,32678065682.271034,46484727846.11376,150972584691.22797,18420316562.805145,227743153941.20065,153606625821.95917,39524987526.94582,29258903736.73929,banking
2025-02-16,CU_049,244615595622.91327,18667414374.203033,43373881934.51084,146263058372.41223,21785783964.163315,221521618271.9195,163192800845.79974,30589915873.744026,28658414362.71569,banking
2025-02-17,CU_049,245537745570.41168,31163428020.780716,40684971200.38896,138342784666.36453,15976446637.698433,218894824758.4232,158593452368.77185,44819636699.01455,21920749095.830383,banking
2025-02-18,CU_049,245975000159.29123,20475248478.79516,52883628913.023224,143429481923.2252,17522042932.95371,225703485663.05496,153925454360.54712,27558259493.899773,21415791999.30475,banking
2025-02-19,CU_049,249764630122.62564,32187870395.93875,56078004684.9966,158994731950.85834,21634738725.620247,229781519361.81134,170444352351.36282,49824372992.78005,25351059602.1055,banking
2025-02-20,CU_049,244537248429.08557,31898317305.055508,58348422126.222565,138709195008.98996,14046922920.526793,224356291295.71396,179780898829.13318,30882560339.849533,21227799164.804707,banking
2025-02-21,CU_049,244666502311.71805,17653312768.892628,56867145937.91227,143728893218.44843,18143649037.194275,224105099975.9333,159338262189.29227,35876272564.73912,28915853248.425224,banking
2025-02-22,CU_049,246485196034.59598,29383434204.426907,41114462022.612976,143740236350.56784,22817184000.94809,219849083749.68332,154388528359.82016,46207694683.628105,21485576668.44965,banking
2025-02-23,CU_049,252767357106.30945,30931967771.258064,42245787729.3576,160386602464.61554,15757639584.935057,225021742565.11795,180366186648.04526,40864835437.009254,28599342618.173504,banking
2025-02-24,CU_049,247656537650.33044,30376448176.73684,50809902998.04339,143097176984.5846,20180662235.035213,226971002428.86774,171970157426.17084,38267656993.48078,29566973500.402424,banking
2025-02-25,CU_049,251981051310.78632,12925084153.934837,43797814187.957245,142505485242.61572,18167151137.684155,231351850273.69455,162563228733.03912,49642399160.95876,20490929693.867573,banking
2025-02-26,CU_049,252728794995.57578,28747832914.396896,48260481655.53372,163903745204.0463,25246297451.923504,226646240164.2839,158967374786.85776,36815759430.33186,28637592745.511898,banking
2025-02-27,CU_049,250739847108.62863,14016192835.560884,43197337511.03656,142894554456.80264,24553129951.24207,226837276254.25998,152349297024.78625,34691519721.599754,29153666381.84504,banking
2025-02-28,CU_049,248767539558.43286,14853022529.20328,52203313571.02681,149664040963.26996,21801056938.31648,222256042960.3581,175417738368.5414,32841563168.88462,25079048794.740223,banking
2025-03-01,CU_049,243928380221.11224,28639802279.75379,45818420534.675186,147760202059.44797,23958234829.722088,215448081256.69446,177802092162.64117,30066506412.595192,21876935732.29781,banking
2025-03-02,CU_049,245982980887.045,15682035442.052801,41721588821.73428,150384064367.16577,21750484562.478344,225923089375.5431,151418682864.9278,28302212194.66053,28387812874.637257,banking
2025-03-03,CU_049,249350990672.93927,26061517118.204727,56650794839.90296,145358073731.14062,13242659043.54199,228397249839.62088,154619413039.70602,36907525547.0063,23583937360.40086,banking
2025-03-04,CU_049,247413976345.66873,19402778340.67312,60794280961.35624,126828551979.12523,22298000415.363777,221608920065.7554,150401960491.7711,38919020382.810074,23476623963.973843,banking
2025-03-05,CU_049,245928926232.81912,21405980239.791134,60919476905.60088,151218808356.29828,22378989428.862434,221586992616.12848,158457156392.53653,38074672961.62586,25041140716.264793,banking
2025-03-06,CU_049,245209937113.46826,28492935111.691425,55939085887.646065,142795106822.7548,17126095081.558092,222050819538.22,166888251251.5685,26558388418.440693,23289670758.807976,banking
2025-03-07,CU_049,252949798915.311,14203391376.443794,45121706174.97063,158975193271.3481,12664378595.61554,232118514727.2938,177880941191.12173,34884630501.77621,20524337517.6697,banking
2025-03-08,CU_049,244188385948.18207,19426951892.558926,52723575339.52748,124557826894.98294,22973857833.947617,223262848531.6578,156958006904.33942,29167468852.48559,23729452947.182064,banking
2025-03-09,CU_049,246543104229.38287,35758830209.55565,51347635904.908226,150493080154.528,18868122673.949947,225208429801.29007,151541542672.35474,42471964070.30446,27293022830.424366,banking
2025-03-10,CU_049,247318574995.75363,14478242520.709179,53255094903.949875,134940638875.27113,19583272289.323883,226356052652.79645,179255455851.31293,38974671524.29404,20859684329.587013,banking
2025-03-11,CU_049,248186257341.64227,30423313495.960995,51300103884.911514,136352015288.65523,16236384378.876675,225139194990.4396,172428210991.8028,39517474652.14002,29305915339.39213,banking
2025-03-12,CU_049,252636524283.7498,20565013239.318695,44185525218.65024,161285762492.126,15263115381.16595,232194769562.95078,159746359960.21152,27999210993.23193,24158826029.77462,banking
2025-03-13,CU_049,252697683258.48138,31116038753.24515,53030911143.120445,152941420613.18765,19207023827.582443,225586524887.99725,170457238335.4197,34867028746.31406,27978915674.538757,banking
2025-03-14,CU_049,245393068593.2605,23308772388.863434,39426415032.633575,124290014974.50761,15121915823.017498,217526648436.89587,176015215215.9528,28475596312.698277,26231018199.991882,banking
2025-03-15,CU_049,248737107590.5909,21419519356.946472,38844621814.18281,139923713294.99823,19509680250.589317,220059731166.4214,183181398589.89334,27629700999.89071,28162772077.561676,banking
2025-03-16,CU_049,251526344439.86063,34828587323.28873,40398986617.94916,143125288975.0866,16531863699.629951,228241804054.9461,157975486381.802,27415652285.527325,22323543781.366257,banking
2025-03-17,CU_049,253602416168.35855,19147040185.515755,45308873169.70529,154260878918.6082,16633067136.939465,228530423407.2663,180724031634.03793,33852069966.30662,23947014483.369072,banking
2025-03-18,CU_049,245955700844.2351,30742314414.92438,61314688153.63599,125279192364.18382,17303182547.294155,219818093248.38806,160663417236.00055,37489104288.73856,26156820808.457745,banking
2025-03-19,CU_049,248621142742.9999,31360905437.706383,38866372141.82999,154172528641.45853,23403984763.06729,224728288941.17404,161099649034.81888,36642996162.03109,25810974256.27463,banking
2025-03-20,CU_049,251656173586.4774,32309410112.354595,46488665914.91138,142174527510.97876,22212091927.118515,225769361604.5229,174971813786.07617,50001922595.20997,28594020681.22947,banking
2025-03-21,CU_049,245903195347.41898,22422466157.77838,50293286015.79214,145014014500.1536,15957030958.501709,225441192905.51535,181103844327.88037,28620541591.43575,28817260291.031555,banking
2025-03-22,CU_049,248165328818.32498,23283274727.093086,41759816198.740234,127205804888.01607,15491311210.7893,227121706059.27075,164049450749.95093,47638329098.01929,25806335698.06673,banking
2025-03-23,CU_049,243816258231.6977,20256907792.298534,39683180727.63416,149172664032.7437,20444222718.606056,216786765144.0587,153917819742.34995,46385895596.32292,20650136176.72454,banking
2025-03-24,CU_049,244062739816.90897,21142298835.855,50369536275.3884,155678656165.06573,23326874500.38863,216138097621.9141,175247880245.9838,47212539434.03786,27662301376.840923,banking
2025-03-25,CU_049,247855202342.2019,17541986157.78366,59871389847.76961,143707180851.03845,15530018331.243694,221320024012.6649,169597151675.81604,34853665223.67243,20225252787.359665,banking
2025-03-26,CU_049,249448478970.81525,22596157818.60144,49227403028.2089,152887116305.03763,12792798806.475422,220170286985.06024,149707669395.8768,35538549814.87768,22754309425.540855,banking
2025-03-27,CU_049,247807729960.05798,26693844661.87713,37377354403.79917,129792686929.78355,13972433570.900154,224228026851.09732,170660171054.50452,26702469722.48678,27769857185.058174,banking
2025-03-28,CU_049,245335927422.4089,16511971507.1308,46680791804.12676,134884337949.10785,24104931072.800514,224799485447.74905,149072615073.03256,34150451483.865494,27316492891.004875,banking
2025-03-29,CU_049,249994575833.3145,31790943674.279762,47676991759.888115,139581212462.74228,22089321165.37847,222914966435.1169,152158759524.42487,47257227575.53732,29460311039.758533,banking
2025-03-30,CU_049,249817944668.27057,30900509354.12493,54700127267.91775,145021507122.25592,19988785678.09676,225238241210.67368,154139634084.6188,32946488729.522205,20158388013.960667,banking
2025-03-31,CU_049,244501167636.60638,24653548847.448963,41022731601.6316,135352739183.05423,22457886096.566753,216011298663.30396,177209226824.37823,46323034079.73888,22675544598.20718,banking
2025-04-01,CU_049,248263642889.73688,22645230739.06802,40826079185.32102,127632319240.66904,18001308736.19212,224102406680.2852,167148250126.84146,41716355240.07274,24588083628.418076,banking
2025-04-02,CU_049,252325535762.67563,27885985173.272373,43558913201.21029,159323175937.6544,23474237350.862648,225782093362.07016,158556612887.58255,44874382326.3718,20789742724.995472,banking
2025-04-03,CU_049,247991589384.6234,23798782754.924152,52799747688.409065,134091529107.53693,16799689522.097603,227689580525.74167,181267407846.2392,34267694134.228024,29430792031.397476,banking
2025-04-04,CU_049,244353383174.80515,19652357706.732563,54018527994.522385,144178628122.10254,18636147388.03672,222558704108.10233,182435521058.20972,41468664868.583,23777682533.780674,banking
2025-04-05,CU_049,250529188458.52167,25766069410.146503,53430079955.98919,150541147890.60477,24972263798.274162,225440595606.47144,179035925019.8072,48855497668.12502,22247669877.2788,banking
2025-04-06,CU_049,247546132302.6641,26145061894.63487,46900728043.16313,150891715796.33234,14431068732.381983,227212516454.38293,162522017108.83218,47400981618.36956,29287210483.247433,banking
2025-04-07,CU_049,245689145613.36276,26147622574.4094,55567679564.94849,124103791936.74759,17225176895.708874,220279538313.53882,171938179578.5619,37384986706.15561,26845674727.287273,banking
2025-04-08,CU_049,247319469212.6632,22441674647.317566,47165056377.85785,135827035239.60866,13333643054.858004,222169449708.23676,180438224015.68906,35253467653.10527,21204581526.155155,banking
2025-04-09,CU_049,246790006730.57257,31052204558.21013,43298889963.84489,125581454452.47319,13011003681.11787,223166519864.2784,181311013908.56247,31097750287.28729,29495769748.843193,banking
2025-04-10,CU_049,245925317434.78714,20807395720.802086,48387969800.53542,126929491263.05809,15901139741.915358,222330732654.60587,148002078207.72174,36482007998.30709,26160722041.93964,banking
2025-04-11,CU_049,246701847218.5268,33825737133.29747,43845237178.772934,157100727079.20642,22613197155.19683,219401547674.61612,150351664589.6948,25449979597.64439,27393379572.16816,banking
2025-04-12,CU_049,249324989256.3859,16894216422.223413,41489883963.93717,138792454812.78494,13546234223.705542,226299849012.4531,185091043104.01132,35255867723.560646,28617185749.488163,banking
2025-04-13,CU_049,246988534519.6459,18446831863.603992,45306111030.3873,131231261062.15233,15271382205.217928,224161749389.13034,180230823471.3369,34110263515.92678,25600738571.35133,banking
2025-04-14,CU_049,245323329233.61554,30825537979.405914,38976747819.01769,129230891435.71666,17388082249.713173,217039859164.10028,180171073526.17587,36613227328.698326,22425795216.704002,banking
2025-04-15,CU_049,245115427921.28644,16412375059.706705,54665379782.331955,154967013081.42,20154027349.569427,219201260395.1512,156663861761.33066,36452403480.11275,22563356962.370735,banking
2025-04-16,CU_049,248664293123.07684,12712168655.758884,59243011071.13781,146278584459.91434,18524007325.44568,223599878146.20547,177732616998.8814,38460112802.56944,26269619464.5251,banking
